timestamp,peakToPeak
1744238257.05653,24
1744238257.1066182,29
1744238257.156617,20
1744238257.206638,23
1744238257.256723,22
1744238257.306646,23
1744238257.356606,24
1744238257.4065971,22
1744238257.456589,24
1744238257.506687,23
1744238257.5566661,23
1744238257.606508,23
1744238257.656652,22
1744238257.70672,23
1744238257.756701,24
1744238257.806762,24
1744238257.85664,24
1744238257.906633,25
1744238257.956634,25
1744238258.0065558,25
1744238258.056579,24
1744238258.106575,24
1744238258.156597,31
1744238258.206644,29
1744238258.256771,24
1744238258.306744,23
1744238258.356715,24
1744238258.406683,26
1744238258.45678,25
1744238258.506678,28
1744238258.5567732,41
1744238258.60671,26
1744238258.656755,25
1744238258.7067468,27
1744238258.756753,26
