timestamp,peakToPeak
1744235797.883898,32
1744235797.933928,27
1744235797.983775,27
1744235798.033957,21
1744235798.0839412,23
1744235798.134028,22
1744235798.183923,23
1744235798.233939,22
1744235798.283922,22
1744235798.333915,24
1744235798.383944,21
1744235798.43395,21
1744235798.4840288,23
1744235798.5340438,23
1744235798.58406,26
1744235798.634064,23
1744235798.6839838,26
1744235798.73398,25
1744235798.783851,25
1744235798.833766,21
1744235798.883874,24
1744235798.933865,29
1744235798.983912,24
1744235799.0339699,23
1744235799.083872,24
1744235799.1339579,23
1744235799.1840398,23
1744235799.234009,24
1744235799.28405,23
1744235799.3337631,22
1744235799.383858,23
1744235799.4339042,24
1744235799.483954,25
1744235799.533955,20
1744235799.5840309,25
1744235799.634022,24
1744235799.683924,23
1744235799.7340338,23
1744235799.784032,21
1744235799.83393,22
1744235799.8840342,26
1744235799.933894,22
1744235799.983805,23
1744235800.03381,24
1744235800.083842,24
1744235800.13391,23
1744235800.1839502,22
1744235800.234024,20
1744235800.2840378,23
1744235800.33405,22
1744235800.384959,24
1744235800.4349701,25
1744235800.48483,26
1744235800.5349948,29
1744235800.585013,21
1744235800.635009,23
1744235800.6849978,21
1744235800.734914,21
1744235800.784939,24
1744235800.8350022,25
1744235800.8850172,28
1744235800.935027,26
1744235800.984959,24
1744235801.035022,25
1744235801.085022,21
1744235801.135045,25
1744235801.1850119,25
1744235801.235001,24
1744235801.284996,24
1744235801.334954,23
1744235801.3850088,22
1744235801.435027,30
1744235801.4850109,25
1744235801.53496,23
1744235801.585022,25
1744235801.6349719,27
1744235801.685002,27
1744235801.7349582,29
1744235801.784888,26
1744235801.8349361,26
1744235801.88501,28
1744235801.934989,32
1744235801.984997,53
1744235802.035007,30
1744235802.084945,31
1744235802.134943,30
1744235802.184957,33
1744235802.235004,36
1744235802.284936,32
1744235802.33494,30
1744235802.3849971,35
1744235802.434999,23
1744235802.4849842,81
1744235802.53498,28
1744235802.5849972,31
1744235802.6349068,33
1744235802.684979,31
1744235802.734978,34
1744235802.7849321,33
1744235802.834954,49
1744235802.884983,42
1744235802.934997,36
1744235802.984992,60
1744235803.034948,29
1744235803.084987,29
1744235803.1349912,26
1744235803.1849759,63
1744235803.23498,53
1744235803.284818,40
1744235803.334976,39
1744235803.38497,39
1744235803.434989,60
1744235803.484926,33
1744235803.5349429,29
1744235803.5849128,24
1744235803.634936,26
1744235803.684971,80
1744235803.7349088,54
1744235803.784926,44
1744235803.8349829,40
1744235803.884919,36
1744235803.934966,56
1744235803.984971,35
1744235804.034921,31
1744235804.084929,27
1744235804.1348999,36
1744235804.184926,39
1744235804.234855,37
1744235804.284853,32
1744235804.3349261,26
1744235804.384898,23
1744235804.434937,100
1744235804.484986,31
1744235804.5349739,31
1744235804.584969,27
1744235804.634934,31
1744235804.6848881,34
1744235804.7349608,33
1744235804.7848032,47
1744235804.834775,42
1744235804.884949,41
1744235804.9348228,61
1744235804.984776,28
1744235805.034782,30
1744235805.0848022,27
1744235805.134838,55
1744235805.1849248,50
1744235805.2349818,40
1744235805.284884,45
1744235805.334914,32
1744235805.38498,72
1744235805.4349508,34
1744235805.4849122,29
1744235805.534886,22
1744235805.584919,25
1744235805.634906,62
1744235805.684916,42
1744235805.735013,32
1744235805.78487,32
1744235805.8349051,33
1744235805.88495,69
1744235805.9349551,33
1744235805.9849339,29
1744235806.0349429,31
1744235806.084945,35
1744235806.1349409,36
1744235806.184961,38
1744235806.234972,38
1744235806.284916,33
1744235806.334899,26
1744235806.3849442,81
1744235806.434659,33
1744235806.484787,31
1744235806.5347798,44
1744235806.584896,38
1744235806.634902,43
1744235806.6849642,39
1744235806.734882,63
1744235806.7849112,42
1744235806.834901,36
1744235806.884901,74
1744235806.9349718,29
1744235806.984909,32
1744235807.034903,37
1744235807.0848708,57
1744235807.134924,46
1744235807.184772,48
1744235807.234818,50
1744235807.284818,50
1744235807.3348322,82
1744235807.38485,28
1744235807.434856,24
1744235807.484906,25
1744235807.5349162,26
1744235807.58482,68
1744235807.634866,47
1744235807.6848981,53
1744235807.734829,45
1744235807.78487,47
1744235807.8348749,83
1744235807.884869,36
1744235807.934942,29
1744235807.984761,32
1744235808.034867,28
1744235808.084887,38
1744235808.134936,41
1744235808.184928,30
1744235808.2349398,28
1744235808.2848241,28
1744235808.3349278,78
1744235808.384901,29
1744235808.434921,28
1744235808.484878,38
1744235808.534936,34
1744235808.5849211,40
1744235808.634866,39
1744235808.6849449,84
1744235808.7348611,49
1744235808.784848,41
1744235808.834935,83
1744235808.8849201,29
1744235808.934804,30
1744235808.984788,35
1744235809.034889,56
1744235809.084883,81
1744235809.1347241,67
1744235809.1848478,66
1744235809.234911,55
1744235809.284792,95
1744235809.3348422,83
1744235809.384908,80
1744235809.434892,77
1744235809.4849012,86
1744235809.534809,97
1744235809.5849001,133
1744235809.634905,93
1744235809.684899,102
1744235809.7347488,96
1744235809.7848582,145
1744235809.83488,96
1744235809.884903,105
1744235809.934756,115
1744235809.984713,129
1744235810.034653,158
1744235810.084725,147
1744235810.134758,138
1744235810.184854,125
1744235810.23469,52
1744235810.2845938,127
1744235810.334723,139
1744235810.384737,105
1744235810.4347599,95
1744235810.484753,121
1744235810.534852,133
1744235810.584831,90
1744235810.634881,119
1744235810.684879,77
1744235810.734727,82
1744235810.784883,100
1744235810.834892,55
1744235810.8848808,45
1744235810.934892,46
1744235810.984836,37
1744235811.034871,68
1744235811.084863,53
1744235811.134885,47
1744235811.1848729,34
1744235811.234689,84
1744235811.284769,51
1744235811.3348212,44
1744235811.384869,42
1744235811.43489,46
1744235811.4848661,64
1744235811.5348449,119
1744235811.5848188,84
1744235811.634835,98
1744235811.6848772,78
1744235811.7347908,115
1744235811.784745,63
1744235811.834847,50
1744235811.884885,46
1744235811.934859,37
1744235811.984885,40
1744235812.034867,66
1744235812.0848799,79
1744235812.1348338,89
1744235812.184845,62
1744235812.23485,90
1744235812.284773,72
1744235812.334817,57
1744235812.384862,53
1744235812.434814,50
1744235812.484844,49
1744235812.534801,43
1744235812.584882,48
1744235812.634807,49
1744235812.684866,59
1744235812.734745,81
1744235812.7847931,33
1744235812.83486,33
1744235812.884831,29
1744235812.934803,37
1744235812.9848268,46
1744235813.034795,62
1744235813.0848489,72
1744235813.134549,53
1744235813.184711,75
1744235813.234676,28
1744235813.2847302,32
1744235813.334846,31
1744235813.384659,28
1744235813.4348218,42
1744235813.4848561,77
1744235813.5348349,60
1744235813.584851,60
1744235813.6347861,62
1744235813.684864,100
1744235813.734719,88
1744235813.784798,66
1744235813.8348029,56
1744235813.884804,44
1744235813.934794,42
1744235813.984788,84
1744235814.0347898,63
1744235814.084772,35
1744235814.134828,23
1744235814.1847901,83
1744235814.234831,69
1744235814.28478,73
1744235814.3346822,29
1744235814.384701,65
1744235814.4346828,43
1744235814.4847732,71
1744235814.534743,64
1744235814.5847769,62
1744235814.634762,45
1744235814.684757,54
1744235814.734776,44
1744235814.784758,32
1744235814.8347719,29
1744235814.884769,29
1744235814.9346619,60
1744235814.9846358,81
1744235815.034629,31
1744235815.084651,34
1744235815.134712,104
1744235815.184757,89
1744235815.234785,100
1744235815.284777,76
1744235815.334839,50
1744235815.384855,49
1744235815.434761,38
1744235815.484826,54
1744235815.5347042,50
1744235815.5848022,50
1744235815.634754,72
1744235815.684777,36
1744235815.734813,38
1744235815.784748,31
1744235815.83483,32
1744235815.884844,54
1744235815.934766,47
1744235815.984758,35
1744235816.034739,32
1744235816.084831,32
1744235816.134804,68
1744235816.184748,33
1744235816.234758,50
1744235816.284769,41
1744235816.334765,33
1744235816.3848162,37
1744235816.434825,30
1744235816.484781,40
1744235816.534802,38
1744235816.584821,32
1744235816.6347442,80
1744235816.684758,26
1744235816.7347488,26
1744235816.7847471,24
1744235816.83479,27
1744235816.884741,41
1744235816.934795,32
1744235816.9847941,34
1744235817.034775,28
1744235817.084804,68
1744235817.134795,50
1744235817.1847858,58
1744235817.234729,64
1744235817.2847831,26
1744235817.3348212,97
1744235817.3847811,78
1744235817.434741,49
1744235817.4846919,40
1744235817.534741,42
1744235817.58476,61
1744235817.634773,59
1744235817.684779,62
1744235817.7347682,80
1744235817.7847831,69
1744235817.834744,62
1744235817.8847969,62
1744235817.9348512,62
1744235817.984777,70
1744235818.034783,49
1744235818.084831,72
1744235818.134806,76
1744235818.184777,49
1744235818.234782,71
1744235818.2846541,53
1744235818.33479,50
1744235818.38478,40
1744235818.434722,60
1744235818.484672,43
1744235818.534654,39
1744235818.58467,65
1744235818.634825,51
1744235818.68476,32
1744235818.734783,31
1744235818.78472,30
1744235818.8347368,43
1744235818.884794,48
1744235818.934759,45
1744235818.984722,34
1744235819.034783,52
1744235819.0847812,50
