timestamp,peakToPeak
1744237674.993355,25
1744237675.043382,25
1744237675.093295,21
1744237675.1433961,23
1744237675.193486,23
1744237675.2435231,24
1744237675.293517,23
1744237675.343489,24
1744237675.393385,30
1744237675.443527,25
1744237675.4935,23
1744237675.5435169,24
1744237675.5934231,23
1744237675.643577,23
1744237675.693554,38
1744237675.743583,761
1744237675.7935581,18
1744237675.8435168,8
1744237675.8935199,7
1744237675.943383,7
1744237675.993388,7
1744237676.043363,7
1744237676.093364,8
1744237676.143469,8
1744237676.193517,10
1744237676.243552,14
1744237676.293536,18
1744237676.343585,13
1744237676.3935602,14
1744237676.443555,18
1744237676.49359,18
1744237676.543553,20
1744237676.593538,22
1744237676.64358,23
1744237676.693582,23
1744237676.7435148,24
1744237676.793517,26
1744237676.8432362,26
1744237676.893384,23
1744237676.943403,23
1744237676.99343,24
1744237677.043329,20
1744237677.093469,25
1744237677.143507,23
1744237677.193415,25
1744237677.2435079,23
1744237677.293459,26
1744237677.343524,23
1744237677.3935318,24
1744237677.443455,22
1744237677.493427,24
1744237677.54339,22
1744237677.593525,44
1744237677.6435661,28
1744237677.693516,24
1744237677.743552,25
1744237677.793507,27
1744237677.843541,30
1744237677.893495,25
1744237677.943566,26
1744237677.993463,22
1744237678.043552,45
1744237678.093467,29
1744237678.1435552,29
1744237678.193517,24
1744237678.243493,25
1744237678.293544,28
1744237678.34348,26
1744237678.393467,26
1744237678.4434922,26
1744237678.4935522,53
1744237678.543505,26
1744237678.5935519,23
1744237678.643519,25
1744237678.693483,26
1744237678.743484,25
1744237678.793524,23
1744237678.843522,23
1744237678.8935418,23
1744237678.943454,62
1744237678.9934762,42
1744237679.0432892,34
1744237679.093366,27
1744237679.143389,27
1744237679.193397,30
1744237679.243469,25
1744237679.293524,27
1744237679.3435268,23
1744237679.39357,71
1744237679.443557,25
1744237679.493541,27
1744237679.543473,24
1744237679.593529,23
1744237679.64345,25
1744237679.693485,24
1744237679.743521,26
1744237679.793487,23
1744237679.8434691,64
1744237679.893493,31
1744237679.94356,28
1744237679.993558,25
1744237680.0435252,24
1744237680.093477,22
1744237680.143466,25
1744237680.193417,23
1744237680.2434711,24
1744237680.293536,67
1744237680.343523,26
1744237680.393538,24
1744237680.4435399,23
1744237680.493524,23
1744237680.543474,21
1744237680.593466,21
1744237680.6435468,24
1744237680.6934478,24
1744237680.743524,67
1744237680.7934651,38
1744237680.8434,36
1744237680.893482,27
1744237680.9434628,25
1744237680.993525,26
1744237681.043442,46
1744237681.093573,57
1744237681.143444,50
1744237681.193571,74
1744237681.2434628,27
1744237681.293503,24
1744237681.343429,22
1744237681.393534,25
1744237681.443514,26
1744237681.493462,30
1744237681.5435112,29
1744237681.5934222,33
1744237681.643519,114
1744237681.693516,36
1744237681.7434611,36
1744237681.793325,24
1744237681.843373,43
1744237681.893429,43
1744237681.943464,27
1744237681.993504,61
1744237682.04352,64
1744237682.093431,57
1744237682.143378,31
1744237682.193362,37
1744237682.243392,35
1744237682.293469,40
1744237682.343502,44
1744237682.393504,27
1744237682.443465,28
1744237682.493524,91
1744237682.543524,95
1744237682.593388,37
1744237682.643523,31
1744237682.693537,28
1744237682.7435222,29
1744237682.793489,32
1744237682.843433,29
1744237682.893526,25
1744237682.9434528,63
1744237682.9935439,35
1744237683.043453,45
1744237683.0935,53
1744237683.143509,36
1744237683.193461,27
1744237683.243516,27
1744237683.29352,27
1744237683.343554,44
1744237683.393478,106
1744237683.443509,76
1744237683.493518,45
1744237683.5434911,46
1744237683.593525,36
1744237683.6434612,25
1744237683.693504,39
1744237683.743497,41
1744237683.793534,44
1744237683.843391,72
1744237683.8934789,32
1744237683.943309,31
1744237683.9934871,28
1744237684.043252,27
1744237684.093354,27
1744237684.1433349,27
1744237684.1933749,24
1744237684.243424,26
1744237684.2934499,101
1744237684.343518,60
1744237684.393527,35
1744237684.4431832,32
1744237684.493372,24
1744237684.543346,24
1744237684.5934,23
1744237684.64351,22
1744237684.6934872,21
1744237684.743513,62
1744237684.793516,33
1744237684.8433762,43
1744237684.893467,39
1744237684.943501,25
1744237684.993514,59
1744237685.043366,47
1744237685.093514,49
1744237685.14333,44
1744237685.193541,111
1744237685.243273,67
1744237685.293173,44
1744237685.343186,29
1744237685.3933,32
1744237685.443339,60
1744237685.493349,38
1744237685.543398,29
1744237685.5932229,33
1744237685.643431,58
1744237685.693465,32
1744237685.743436,30
1744237685.793438,35
1744237685.8433201,32
1744237685.893396,23
1744237685.9433868,49
1744237685.993432,47
1744237686.043375,57
1744237686.0933619,113
1744237686.143403,68
1744237686.193415,31
1744237686.243495,28
1744237686.294483,25
1744237686.343477,52
1744237686.394433,34
