timestamp,peakToPeak
1744236830.637716,34
1744236830.687735,31
1744236830.737694,22
1744236830.7877278,23
1744236830.837729,23
1744236830.887748,23
1744236830.937792,22
1744236830.987767,21
1744236831.037673,22
1744236831.087788,24
1744236831.137745,22
1744236831.1877928,21
1744236831.237846,20
1744236831.28781,20
1744236831.337827,24
1744236831.387897,22
1744236831.437808,762
1744236831.4878862,36
1744236831.537814,17
1744236831.587672,11
1744236831.63771,10
1744236831.687635,12
1744236831.73772,11
1744236831.787761,16
1744236831.8387148,15
1744236831.887676,17
1744236831.937718,29
1744236831.98779,20
1744236832.037857,20
1744236832.0878232,23
1744236832.137825,25
1744236832.187894,26
1744236832.2378318,28
1744236832.287856,27
1744236832.337802,26
1744236832.387914,24
1744236832.437888,26
1744236832.4878678,22
1744236832.537898,22
1744236832.587689,22
1744236832.637783,25
1744236832.6878421,25
1744236832.737796,28
1744236832.787881,26
1744236832.8378081,24
1744236832.887868,24
1744236832.937859,27
1744236832.987873,22
1744236833.037845,21
1744236833.0878458,21
1744236833.137769,27
1744236833.187861,23
1744236833.2377741,22
1744236833.287851,26
1744236833.337782,22
1744236833.38766,24
1744236833.437796,23
1744236833.4878578,28
1744236833.5377831,28
1744236833.587817,20
1744236833.637852,22
1744236833.687865,24
1744236833.737856,23
1744236833.7878752,26
1744236833.837767,26
1744236833.887813,24
1744236833.9377222,25
1744236833.98783,25
1744236834.03774,24
1744236834.0877671,25
1744236834.13785,26
1744236834.187862,27
1744236834.2378318,24
1744236834.287831,27
1744236834.337825,23
1744236834.387833,27
1744236834.4377751,26
1744236834.487809,24
1744236834.537746,23
1744236834.587798,26
1744236834.63778,24
1744236834.687839,35
1744236834.7378,39
1744236834.787841,24
1744236834.837783,25
1744236834.887841,26
1744236834.937811,29
1744236834.987854,29
1744236835.037794,25
1744236835.0878232,26
1744236835.137845,27
1744236835.187837,44
1744236835.237825,29
1744236835.287821,26
1744236835.337758,22
1744236835.387776,31
1744236835.437629,25
1744236835.4876502,23
1744236835.537615,29
1744236835.587682,31
1744236835.637718,25
1744236835.6878028,37
1744236835.737799,25
1744236835.787853,23
1744236835.8377779,23
1744236835.887847,22
1744236835.937834,32
1744236835.9878578,26
1744236836.037781,25
1744236836.087816,25
1744236836.1377861,27
1744236836.187808,40
1744236836.237756,23
1744236836.287765,22
1744236836.337829,26
1744236836.3878772,25
1744236836.437829,39
1744236836.4878561,25
1744236836.5377762,25
1744236836.587805,24
1744236836.637846,26
1744236836.687865,32
1744236836.7378109,27
1744236836.7878559,29
1744236836.837812,30
1744236836.887912,25
1744236836.937761,29
1744236836.987833,24
1744236837.037764,26
1744236837.087787,25
1744236837.1377861,50
1744236837.18782,28
1744236837.237841,24
1744236837.2878149,27
1744236837.3378282,27
1744236837.3878348,29
1744236837.437799,28
1744236837.487678,25
1744236837.537673,31
1744236837.5876632,27
1744236837.637696,30
1744236837.6877,25
1744236837.737581,28
1744236837.787689,25
1744236837.837707,24
1744236837.8876889,32
1744236837.93771,27
1744236837.987704,27
1744236838.0376909,29
1744236838.0877042,22
1744236838.1376488,38
1744236838.187659,24
1744236838.237813,24
1744236838.28783,25
1744236838.337763,26
1744236838.387827,31
1744236838.4377542,29
1744236838.487811,29
1744236838.537756,29
1744236838.58783,34
1744236838.637762,40
1744236838.687826,27
1744236838.737762,23
1744236838.787816,26
1744236838.837718,27
1744236838.887809,26
1744236838.9378061,25
1744236838.987804,28
1744236839.037799,23
1744236839.087702,37
1744236839.137654,29
1744236839.1877592,27
1744236839.237754,24
1744236839.2878022,24
1744236839.337721,26
1744236839.38779,26
1744236839.437748,28
1744236839.487803,35
1744236839.5377789,25
1744236839.5877812,37
1744236839.637758,24
1744236839.687797,26
1744236839.73782,28
1744236839.787852,25
1744236839.837811,34
1744236839.887685,25
1744236839.937763,28
1744236839.987846,31
1744236840.037749,29
1744236840.087779,38
1744236840.1376882,24
1744236840.187754,24
1744236840.237716,26
1744236840.287808,26
1744236840.3377512,32
1744236840.387742,27
1744236840.437599,32
1744236840.487607,29
1744236840.537641,28
1744236840.587626,28
1744236840.637656,22
1744236840.687752,26
1744236840.73775,29
1744236840.787821,27
1744236840.8377202,24
1744236840.8878112,24
1744236840.937723,25
1744236840.987833,26
1744236841.0377421,46
1744236841.0878,25
1744236841.137769,25
1744236841.187812,26
1744236841.237817,27
1744236841.287767,24
1744236841.33769,23
1744236841.387838,26
1744236841.437807,30
1744236841.487809,27
1744236841.537674,33
1744236841.587806,27
1744236841.6377861,24
1744236841.687833,25
1744236841.7377641,26
1744236841.7877948,29
1744236841.837661,29
1744236841.887829,30
1744236841.937707,25
1744236841.9877949,33
1744236842.037698,35
1744236842.087778,39
1744236842.1377668,39
1744236842.1877592,43
1744236842.237779,33
1744236842.287804,51
1744236842.3376808,45
1744236842.38779,40
1744236842.4377332,37
1744236842.487808,54
1744236842.537685,52
1744236842.5877519,40
1744236842.637727,46
1744236842.687806,46
1744236842.737779,46
1744236842.787782,47
1744236842.837762,51
1744236842.8877382,47
1744236842.9377348,37
