timestamp,peakToPeak
1745273491.040148,9
1745273491.090056,9
1745273491.140204,9
1745273491.190203,9
1745273491.240204,8
1745273491.2902231,9
1745273491.340286,8
1745273491.3901389,10
1745273491.440215,8
1745273491.490286,7
1745273491.540264,8
1745273491.590291,9
1745273491.6403682,8
1745273491.6903691,9
1745273491.7403572,8
1745273491.790366,7
1745273491.840349,755
1745273491.890374,18
1745273491.940259,7
1745273491.990218,6
1745273492.040163,6
1745273492.090209,6
1745273492.14024,7
1745273492.1902442,6
1745273492.240296,8
1745273492.290265,8
1745273492.340319,8
1745273492.390229,9
1745273492.4402602,7
1745273492.490282,8
1745273492.540343,7
1745273492.5902982,7
1745273492.640332,8
1745273492.69027,9
1745273492.740347,8
1745273492.7903109,9
1745273492.840338,8
1745273492.890272,8
1745273492.940329,8
1745273492.990269,8
1745273493.040113,7
1745273493.090035,8
1745273493.140091,8
1745273493.190193,7
1745273493.240198,8
1745273493.290238,7
1745273493.340301,10
1745273493.390284,11
1745273493.440328,9
1745273493.49036,9
1745273493.540374,9
1745273493.590163,9
1745273493.640383,8
1745273493.690379,8
1745273493.7403488,9
1745273493.790354,9
1745273493.840359,9
1745273493.890343,8
1745273493.9403672,8
1745273493.9903018,8
1745273494.040271,8
1745273494.090323,8
1745273494.140298,8
1745273494.1902888,8
1745273494.240362,8
1745273494.2903528,8
1745273494.340342,8
1745273494.39035,8
1745273494.4403489,10
1745273494.490361,10
1745273494.540355,10
1745273494.590378,12
1745273494.6403682,9
1745273494.690349,8
1745273494.740298,8
1745273494.7902899,10
1745273494.840357,15
1745273494.890309,13
1745273494.940361,13
1745273494.990305,18
1745273495.040264,16
1745273495.090376,18
1745273495.140199,11
1745273495.190181,10
1745273495.240181,11
1745273495.290224,11
1745273495.340319,9
1745273495.390335,9
1745273495.440366,8
1745273495.490334,9
1745273495.540357,8
1745273495.5900521,8
1745273495.640217,10
1745273495.6902242,9
1745273495.740318,9
1745273495.7903419,12
1745273495.8403661,9
1745273495.890271,9
1745273495.940462,8
1745273495.990319,8
1745273496.040301,9
1745273496.090352,8
1745273496.1403918,8
1745273496.190325,11
1745273496.240371,8
1745273496.290376,8
1745273496.340294,8
1745273496.390265,10
1745273496.440342,9
1745273496.4903371,9
1745273496.540373,11
1745273496.590364,9
1745273496.640366,9
1745273496.690277,8
1745273496.740347,9
1745273496.790312,8
1745273496.84036,9
1745273496.890372,10
1745273496.940244,11
1745273496.990349,8
1745273497.040334,12
1745273497.0903418,8
1745273497.140341,9
1745273497.1902442,8
1745273497.240277,9
1745273497.2903612,8
1745273497.34036,12
1745273497.390365,11
1745273497.440325,9
1745273497.4903429,10
1745273497.540302,11
1745273497.5903392,8
1745273497.640372,10
1745273497.690355,13
1745273497.740373,10
1745273497.790299,9
1745273497.840367,10
1745273497.8903282,8
1745273497.94016,13
1745273497.9902668,9
1745273498.040353,9
1745273498.090293,9
1745273498.140277,9
1745273498.190343,22
1745273498.2403688,15
1745273498.2903612,13
1745273498.340356,11
1745273498.39035,10
1745273498.440282,10
1745273498.4902751,10
1745273498.540364,13
1745273498.590337,7
1745273498.640311,8
1745273498.690303,8
1745273498.740333,9
1745273498.790367,13
1745273498.840353,9
1745273498.890281,8
1745273498.940365,10
1745273498.990241,9
1745273499.04028,8
1745273499.0902798,9
1745273499.140314,9
1745273499.190321,9
1745273499.2402828,9
1745273499.2903302,8
1745273499.3403468,16
1745273499.3903391,13
1745273499.440328,10
1745273499.49029,11
1745273499.540334,17
1745273499.590358,23
1745273499.640328,9
1745273499.690376,8
1745273499.740313,8
1745273499.790314,10
1745273499.84025,9
1745273499.890223,9
1745273499.940358,8
1745273499.990277,8
1745273500.0403159,8
1745273500.090252,8
1745273500.1401641,8
1745273500.190155,9
1745273500.240154,9
1745273500.2901602,8
1745273500.34034,8
1745273500.3902779,8
1745273500.4402728,12
1745273500.490266,9
1745273500.540283,10
1745273500.5903249,11
1745273500.640321,13
1745273500.690269,11
1745273500.740333,13
1745273500.790327,20
1745273500.84033,24
1745273500.8903291,17
1745273500.94034,10
1745273500.990316,13
1745273501.040349,10
1745273501.090316,10
1745273501.140345,13
1745273501.190293,12
1745273501.240323,9
1745273501.290307,8
1745273501.340321,8
1745273501.390315,8
1745273501.440327,10
1745273501.490314,7
1745273501.5403168,9
1745273501.590315,8
1745273501.640304,10
1745273501.690339,11
1745273501.740319,9
1745273501.792665,9
1745273501.8401432,9
1745273501.890155,15
1745273501.940175,18
1745273501.990355,20
1745273502.0403168,15
1745273502.090228,9
1745273502.140307,8
1745273502.190326,9
1745273502.240253,8
1745273502.290313,8
1745273502.341274,8
1745273502.391288,14
1745273502.441281,14
1745273502.491262,11
1745273502.541288,9
1745273502.591305,10
1745273502.641273,9
1745273502.691288,13
1745273502.741302,14
1745273502.791374,11
1745273502.841325,11
1745273502.891278,8
1745273502.941317,7
1745273502.9912891,8
1745273503.041236,7
1745273503.091337,7
1745273503.141302,9
1745273503.191336,16
1745273503.241322,15
1745273503.291342,12
1745273503.3413482,12
1745273503.391319,9
1745273503.441279,8
1745273503.491337,8
1745273503.541319,10
1745273503.5912662,10
1745273503.641278,10
1745273503.6912909,11
1745273503.741272,9
1745273503.791286,14
1745273503.841316,16
1745273503.89133,9
1745273503.941308,9
1745273503.9913301,10
1745273504.041325,12
1745273504.09131,11
1745273504.1413062,9
1745273504.191309,14
1745273504.241313,10
1745273504.291137,16
1745273504.341314,21
1745273504.391268,11
1745273504.441227,11
1745273504.4912589,9
1745273504.5412989,9
1745273504.591315,12
1745273504.641309,8
1745273504.6913338,9
1745273504.741314,8
1745273504.791274,8
1745273504.841299,8
1745273504.891308,8
1745273504.941209,8
1745273504.991251,7
1745273505.041295,7
1745273505.091243,8
1745273505.1411352,12
1745273505.1911309,11
1745273505.241132,15
1745273505.2911549,17
1745273505.341333,11
1745273505.39131,19
1745273505.44121,10
1745273505.491288,28
1745273505.541266,19
1745273505.591325,19
1745273505.641278,23
1745273505.6913102,21
1745273505.741297,19
1745273505.7912629,12
1745273505.841284,8
1745273505.891297,8
