timestamp,peakToPeak
1745275539.718199,8
1745275539.768269,8
1745275539.8182552,9
1745275539.868309,10
1745275539.918339,7
1745275539.968368,8
1745275540.018363,8
1745275540.068375,9
1745275540.11836,8
1745275540.1683571,7
1745275540.218354,8
1745275540.2683651,8
1745275540.318463,8
1745275540.368232,8
1745275540.418325,8
1745275540.468286,8
1745275540.518451,10
1745275540.5684211,8
1745275540.618376,8
1745275540.6682508,8
1745275540.718286,9
1745275540.7682948,9
1745275540.8182862,10
1745275540.868386,8
1745275540.918236,8
1745275540.9683368,8
1745275541.018472,10
1745275541.0684092,8
1745275541.11833,8
1745275541.168324,8
1745275541.2184598,9
1745275541.268405,9
1745275541.3184052,8
1745275541.368397,9
1745275541.41841,8
1745275541.468402,8
1745275541.5184221,9
1745275541.568419,8
1745275541.618436,8
1745275541.668452,9
1745275541.718305,695
1745275541.7683609,27
1745275541.8184261,9
1745275541.868392,6
1745275541.9184241,6
1745275541.968414,6
1745275542.01844,6
1745275542.068453,11
1745275542.118294,7
1745275542.1684082,7
1745275542.2184021,9
1745275542.268406,9
1745275542.318412,9
1745275542.3683882,8
1745275542.41842,9
1745275542.468384,8
1745275542.51827,9
1745275542.5683799,8
1745275542.618368,8
1745275542.6683671,8
1745275542.718431,8
1745275542.768445,8
1745275542.8184052,8
1745275542.868327,8
1745275542.918357,8
1745275542.968369,8
1745275543.0183349,9
1745275543.068172,8
1745275543.1181319,8
1745275543.1682281,7
1745275543.2183108,8
1745275543.26832,8
1745275543.318374,9
1745275543.368337,9
1745275543.41838,8
1745275543.4683928,8
1745275543.518325,8
1745275543.568355,8
1745275543.618272,9
1745275543.668361,9
1745275543.718403,8
1745275543.7683132,9
1745275543.818345,8
1745275543.868361,9
1745275543.918401,11
1745275543.968425,8
1745275544.018402,9
1745275544.068406,8
1745275544.118258,9
1745275544.168345,10
1745275544.218409,12
1745275544.268367,15
1745275544.3183858,12
1745275544.368425,11
1745275544.418423,15
1745275544.468294,17
1745275544.518411,16
1745275544.5684202,11
1745275544.618433,16
1745275544.668298,12
1745275544.718404,10
1745275544.768363,8
1745275544.818389,10
1745275544.868442,13
1745275544.918179,12
1745275544.968095,12
1745275545.018209,11
1745275545.068219,14
1745275545.118122,14
1745275545.1682801,14
1745275545.218396,10
1745275545.268346,9
1745275545.318378,8
1745275545.368402,8
1745275545.418387,9
1745275545.46842,10
1745275545.518416,13
1745275545.5684211,13
1745275545.618405,15
1745275545.668169,15
1745275545.7182012,15
1745275545.768188,14
1745275545.818215,13
1745275545.868233,9
1745275545.9182332,8
1745275545.968287,8
1745275546.018382,9
1745275546.068376,9
1745275546.118231,8
1745275546.168352,8
1745275546.2183812,9
1745275546.268367,7
1745275546.318371,8
1745275546.368403,8
1745275546.418377,9
1745275546.4684181,10
1745275546.518368,9
1745275546.568376,10
1745275546.6183739,8
1745275546.668426,10
1745275546.7182798,13
1745275546.7683,14
1745275546.818382,14
1745275546.868356,9
1745275546.9183218,9
1745275546.968318,9
1745275547.0183601,8
1745275547.0683992,8
1745275547.1183481,9
1745275547.168413,9
1745275547.218386,10
1745275547.268395,16
1745275547.318388,15
1745275547.368305,12
1745275547.418367,12
1745275547.468333,12
1745275547.518377,8
1745275547.568383,9
1745275547.618376,9
1745275547.668393,10
1745275547.7183821,10
1745275547.768341,11
1745275547.818361,9
1745275547.868403,10
1745275547.918369,11
1745275547.9684129,12
1745275548.018384,10
1745275548.068278,10
1745275548.118378,12
1745275548.1683211,9
1745275548.218347,8
1745275548.268318,9
1745275548.318316,9
1745275548.368385,10
1745275548.418376,10
1745275548.46829,9
1745275548.518377,11
1745275548.56834,16
1745275548.618314,14
1745275548.6683898,15
1745275548.718364,14
1745275548.768404,11
1745275548.818371,11
1745275548.868361,9
1745275548.9182138,8
1745275548.9683552,10
1745275549.0182688,9
1745275549.068373,8
1745275549.1183739,9
1745275549.168344,9
1745275549.218376,10
1745275549.268363,9
1745275549.3183181,8
1745275549.368382,9
1745275549.418369,9
1745275549.4683719,8
1745275549.518327,8
1745275549.568383,10
1745275549.618391,8
1745275549.668371,8
1745275549.7183502,8
1745275549.76836,9
1745275549.818351,9
1745275549.868309,8
1745275549.918356,8
1745275549.9683352,8
1745275550.018351,7
1745275550.068318,11
1745275550.1183171,10
1745275550.1682858,9
1745275550.218344,9
1745275550.26832,9
1745275550.318203,9
1745275550.36831,10
1745275550.4183412,10
1745275550.468378,10
1745275550.518373,12
1745275550.568311,11
1745275550.618363,12
1745275550.6681652,11
1745275550.718197,11
1745275550.76821,11
1745275550.8181949,9
1745275550.868261,11
1745275550.9183528,15
1745275550.968308,16
1745275551.018341,10
1745275551.0682828,11
1745275551.118355,10
1745275551.168339,9
1745275551.2183418,9
1745275551.268237,9
1745275551.3182878,10
1745275551.368324,12
1745275551.418348,12
1745275551.468256,10
1745275551.518378,10
1745275551.5683148,9
1745275551.618359,8
1745275551.668347,9
1745275551.718338,9
1745275551.768285,9
1745275551.8183591,8
1745275551.868343,8
1745275551.918348,11
1745275551.968363,10
1745275552.018347,10
1745275552.068311,11
1745275552.1183438,9
1745275552.1683588,10
1745275552.218336,8
1745275552.268367,10
1745275552.318233,8
1745275552.368342,8
1745275552.418344,8
1745275552.468226,7
1745275552.518496,7
1745275552.568095,8
1745275552.6181262,8
1745275552.668287,8
1745275552.7183301,9
1745275552.7683232,8
1745275552.818358,8
1745275552.8683589,10
1745275552.9183419,10
1745275552.968317,10
1745275553.0182762,8
1745275553.068224,9
1745275553.118339,8
1745275553.168137,8
1745275553.218324,8
1745275553.268291,8
1745275553.318217,7
1745275553.368343,7
1745275553.4183412,8
1745275553.468287,8
1745275553.518355,8
1745275553.56828,8
1745275553.618336,8
1745275553.668271,9
1745275553.718326,8
1745275553.7682261,11
1745275553.818325,13
1745275553.868356,22
1745275553.918334,16
1745275553.968312,10
1745275554.0183182,8
1745275554.0683048,9
1745275554.118322,9
1745275554.168276,10
1745275554.218366,11
1745275554.268317,9
1745275554.31826,11
1745275554.3683279,8
1745275554.418328,11
1745275554.468263,9
1745275554.51832,8
1745275554.5682712,8
1745275554.618311,13
1745275554.668315,15
1745275554.7183402,15
1745275554.768288,13
1745275554.818285,15
1745275554.868354,15
1745275554.918306,10
1745275554.968318,10
1745275555.0183191,9
1745275555.0683,8
1745275555.118313,9
1745275555.16825,12
1745275555.2183301,13
1745275555.2682729,13
1745275555.318212,12
1745275555.368294,10
1745275555.4183,9
1745275555.46834,8
1745275555.5183392,8
1745275555.568285,9
1745275555.6183481,10
1745275555.668154,10
1745275555.718184,9
1745275555.768103,10
1745275555.818156,9
1745275555.868135,9
1745275555.918247,9
1745275555.968204,8
1745275556.018316,8
1745275556.068269,9
1745275556.118298,8
1745275556.168284,8
1745275556.218292,8
1745275556.268258,9
1745275556.3182058,8
1745275556.3682828,8
1745275556.418314,9
1745275556.468255,8
1745275556.518281,9
1745275556.568288,10
1745275556.618321,10
1745275556.668237,9
1745275556.718318,11
1745275556.768318,11
1745275556.818295,8
1745275556.868282,9
1745275556.918294,9
1745275556.9682581,9
1745275557.018263,9
1745275557.06823,8
1745275557.1183019,11
1745275557.168257,10
1745275557.2182841,9
1745275557.268265,8
1745275557.31818,9
1745275557.3682518,8
1745275557.418287,9
1745275557.4681,9
1745275557.5182889,10
1745275557.568177,11
1745275557.618309,9
1745275557.668236,9
1745275557.718244,8
1745275557.768214,9
1745275557.818175,9
1745275557.868247,8
1745275557.918266,7
1745275557.968262,9
1745275558.018286,8
1745275558.06827,8
1745275558.118272,8
1745275558.1682181,9
1745275558.2182798,9
1745275558.268259,8
1745275558.318212,8
1745275558.3682969,10
1745275558.41828,9
1745275558.468239,8
1745275558.518302,8
1745275558.5682628,9
1745275558.618308,9
1745275558.668247,11
1745275558.718279,9
1745275558.768259,9
1745275558.818292,11
1745275558.868263,20
1745275558.918306,19
