timestamp,peakToPeak
1745275607.717629,10
1745275607.7677,9
1745275607.8176131,8
1745275607.867759,8
1745275607.917711,9
1745275607.9677708,9
1745275608.017806,7
1745275608.067796,9
1745275608.1177878,9
1745275608.1677492,7
1745275608.217771,8
1745275608.2678988,8
1745275608.317771,8
1745275608.367765,9
1745275608.4177542,740
1745275608.4677901,18
1745275608.5178509,8
1745275608.567808,6
1745275608.6178508,5
1745275608.667618,6
1745275608.717684,5
1745275608.767675,6
1745275608.817709,6
1745275608.867805,7
1745275608.917815,6
1745275608.967662,6
1745275609.0177028,8
1745275609.067797,8
1745275609.117773,10
1745275609.1678562,8
1745275609.21782,9
1745275609.267829,8
1745275609.317557,8
1745275609.36762,8
1745275609.4177222,8
1745275609.467702,8
1745275609.517677,9
1745275609.567727,10
1745275609.617793,9
1745275609.667722,9
1745275609.7178,8
1745275609.767749,8
1745275609.817716,9
1745275609.867765,9
1745275609.917724,9
1745275609.9677591,8
1745275610.017747,8
1745275610.0677571,8
1745275610.117735,7
1745275610.167778,9
1745275610.2177658,9
1745275610.267719,8
1745275610.317696,8
1745275610.367737,9
1745275610.417772,9
1745275610.467788,7
1745275610.517812,8
1745275610.5677,8
1745275610.617737,8
1745275610.667768,9
1745275610.717786,8
1745275610.767767,9
1745275610.817817,7
1745275610.867805,9
1745275610.917724,8
1745275610.967704,8
1745275611.017719,9
1745275611.067811,8
1745275611.117715,9
1745275611.167739,9
1745275611.217789,10
1745275611.2678,10
1745275611.317735,9
1745275611.367717,9
1745275611.417741,9
1745275611.4677749,9
1745275611.517824,8
1745275611.5677571,8
1745275611.617876,8
1745275611.667638,9
1745275611.717622,7
1745275611.767586,8
1745275611.817556,11
1745275611.867671,8
1745275611.9177349,9
1745275611.967829,10
1745275612.0177522,9
1745275612.067729,8
1745275612.117701,8
1745275612.167785,8
1745275612.217813,9
1745275612.267766,9
1745275612.317651,9
1745275612.367641,7
1745275612.417634,7
1745275612.467726,8
1745275612.517747,10
1745275612.567659,8
1745275612.617768,9
1745275612.667684,8
1745275612.717746,8
1745275612.767749,8
1745275612.817775,8
1745275612.867761,8
1745275612.917753,7
1745275612.967753,8
1745275613.017708,9
1745275613.067691,9
1745275613.1177359,9
1745275613.167804,8
1745275613.217751,9
1745275613.2677069,8
1745275613.3176692,7
1745275613.369441,8
1745275613.417452,8
1745275613.467604,8
1745275613.517615,7
1745275613.567691,9
1745275613.617694,9
1745275613.6677198,9
1745275613.717827,9
1745275613.767797,9
1745275613.817633,8
1745275613.867702,9
1745275613.917804,8
1745275613.9677389,9
1745275614.017707,8
1745275614.067749,9
1745275614.117781,9
1745275614.167792,8
1745275614.217746,9
1745275614.267719,8
1745275614.317674,8
1745275614.367693,8
1745275614.4177,8
1745275614.4677691,8
1745275614.517767,7
1745275614.567733,8
1745275614.617823,8
1745275614.667708,8
1745275614.717706,9
1745275614.767744,8
1745275614.817749,9
1745275614.867767,9
1745275614.917716,9
1745275614.967747,9
1745275615.017716,9
1745275615.067701,8
1745275615.1176908,8
1745275615.167746,8
1745275615.2176251,8
1745275615.267711,8
1745275615.317744,8
1745275615.367732,8
1745275615.417583,9
1745275615.467649,8
1745275615.517725,7
1745275615.567745,8
1745275615.61781,8
1745275615.667722,8
1745275615.717709,8
1745275615.767807,9
1745275615.817725,8
1745275615.8677619,7
1745275615.917759,9
1745275615.967741,9
1745275616.01773,8
1745275616.067601,8
1745275616.117653,9
1745275616.1677592,8
1745275616.2176719,8
1745275616.2676952,8
1745275616.317701,8
1745275616.367651,9
1745275616.417738,8
1745275616.467624,9
1745275616.517806,9
1745275616.567672,9
1745275616.617813,7
1745275616.667661,9
1745275616.717597,8
1745275616.767643,8
1745275616.817656,8
1745275616.867656,9
1745275616.91769,8
1745275616.9677272,10
1745275617.01768,8
1745275617.067792,9
1745275617.1178062,8
1745275617.1677718,8
1745275617.2177558,8
1745275617.267699,8
1745275617.317625,8
1745275617.36773,8
1745275617.4177191,8
1745275617.467728,8
1745275617.51777,8
1745275617.567588,8
1745275617.617787,9
1745275617.66768,9
1745275617.717639,10
1745275617.767631,9
1745275617.817707,8
1745275617.8677309,7
1745275617.917718,8
1745275617.9677389,8
1745275618.017687,9
1745275618.067734,7
1745275618.117701,8
1745275618.167775,9
1745275618.217747,8
1745275618.267742,8
1745275618.317732,8
1745275618.3677042,8
1745275618.417724,9
1745275618.467638,7
1745275618.5177999,8
1745275618.5677052,9
1745275618.617693,8
1745275618.667688,9
1745275618.717706,8
1745275618.767738,8
1745275618.817686,9
1745275618.867751,9
1745275618.917695,8
1745275618.967721,6
1745275619.017647,9
1745275619.06777,8
1745275619.117745,9
1745275619.1677802,8
1745275619.217668,9
1745275619.267621,8
1745275619.3176892,8
