timestamp,peakToPeak
1745275662.2671769,8
1745275662.3172312,10
1745275662.3671849,9
1745275662.417274,9
1745275662.4672909,8
1745275662.5172448,9
1745275662.567321,8
1745275662.617207,9
1745275662.667279,8
1745275662.717321,11
1745275662.767295,8
1745275662.817285,9
1745275662.867167,8
1745275662.917343,10
1745275662.967399,7
1745275663.0173938,644
1745275663.067404,31
1745275663.117366,7
1745275663.1673841,6
1745275663.217196,5
1745275663.267222,6
1745275663.3172429,7
1745275663.36723,7
1745275663.417296,6
1745275663.4672818,7
1745275663.517129,8
1745275663.567366,8
1745275663.6173718,7
1745275663.667328,7
1745275663.717371,9
1745275663.7673972,8
1745275663.8173451,8
1745275663.8673332,9
1745275663.917365,7
1745275663.967388,7
1745275664.017281,8
1745275664.067313,7
1745275664.117306,7
1745275664.1670809,7
1745275664.217152,8
1745275664.267245,7
1745275664.317245,7
1745275664.367156,7
1745275664.4171891,7
1745275664.4672189,7
1745275664.517149,9
1745275664.5672529,8
1745275664.6172218,8
1745275664.667291,8
1745275664.717411,8
1745275664.7673652,9
1745275664.8172941,9
1745275664.867348,9
1745275664.917269,9
1745275664.967339,9
1745275665.0173,8
1745275665.06736,10
1745275665.1173341,9
1745275665.167378,10
1745275665.2173572,13
1745275665.267369,11
1745275665.3173141,11
1745275665.3673532,10
1745275665.417289,10
1745275665.46738,12
1745275665.5172071,11
1745275665.567363,10
1745275665.6173701,10
1745275665.6673138,9
1745275665.717349,9
1745275665.76738,8
1745275665.817336,8
1745275665.867361,9
1745275665.917366,12
1745275665.9670599,11
1745275666.0172029,11
1745275666.067198,12
1745275666.117244,12
1745275666.167347,12
1745275666.217331,11
1745275666.267384,9
1745275666.317309,8
1745275666.3673532,7
1745275666.417299,8
1745275666.4673128,8
1745275666.517246,12
1745275666.5673332,12
1745275666.617347,13
1745275666.667379,12
1745275666.717335,11
1745275666.767355,12
1745275666.817322,11
1745275666.867389,12
1745275666.917333,8
1745275666.967347,9
1745275667.0173361,8
1745275667.067355,9
1745275667.117297,7
1745275667.1673548,8
1745275667.2172742,9
1745275667.267292,7
1745275667.317327,9
1745275667.3673441,9
1745275667.417357,11
1745275667.467349,9
1745275667.517175,10
1745275667.567349,9
1745275667.6173499,9
1745275667.6673422,9
1745275667.717292,10
1745275667.767339,9
1745275667.817337,11
1745275667.867334,9
1745275667.917305,8
1745275667.967361,9
1745275668.017282,9
1745275668.067345,9
1745275668.1173198,7
1745275668.167348,7
1745275668.217335,8
1745275668.267348,9
1745275668.317329,11
1745275668.367341,13
1745275668.417311,10
1745275668.467353,10
1745275668.517218,10
1745275668.567338,8
1745275668.617277,7
1745275668.667316,9
1745275668.717345,8
1745275668.7673469,8
1745275668.8172889,9
1745275668.867338,9
1745275668.917334,10
1745275668.967305,9
1745275669.0172968,10
1745275669.067363,10
1745275669.117329,11
1745275669.167357,11
1745275669.217298,9
1745275669.26736,9
1745275669.317277,9
1745275669.36714,8
1745275669.417152,9
1745275669.4671638,9
1745275669.5171552,9
1745275669.5673192,10
1745275669.617326,11
1745275669.6673448,12
1745275669.7172768,12
1745275669.767251,9
1745275669.817354,9
1745275669.867315,10
1745275669.91728,9
1745275669.9673421,8
1745275670.017292,8
1745275670.067321,7
1745275670.117307,8
1745275670.167316,10
1745275670.21727,7
1745275670.267327,9
1745275670.317248,9
1745275670.3673012,10
1745275670.4172878,8
1745275670.467339,8
1745275670.517327,8
1745275670.567345,9
1745275670.617329,9
1745275670.6673331,9
1745275670.71729,8
1745275670.767336,7
1745275670.8171341,8
1745275670.867271,8
1745275670.917304,8
1745275670.967256,7
1745275671.017246,7
1745275671.06724,8
1745275671.117266,9
1745275671.1673138,9
1745275671.217281,8
1745275671.2673159,7
1745275671.317245,9
1745275671.367255,7
1745275671.4172952,9
1745275671.4672089,8
1745275671.517341,9
1745275671.567343,10
1745275671.617279,10
1745275671.667309,9
1745275671.717261,10
1745275671.76733,11
1745275671.8172648,10
1745275671.867315,9
1745275671.917258,10
1745275671.967325,10
1745275672.0172539,10
1745275672.067308,9
1745275672.117256,10
1745275672.16732,9
1745275672.217267,9
1745275672.267321,9
1745275672.317261,10
1745275672.367284,11
1745275672.417273,10
1745275672.4673338,11
1745275672.517341,10
1745275672.5673149,8
1745275672.617295,8
1745275672.667305,7
1745275672.7172391,9
1745275672.767308,8
1745275672.81724,8
1745275672.867291,8
1745275672.917299,8
1745275672.967076,9
1745275673.0171678,9
1745275673.067227,10
1745275673.1172328,10
1745275673.167289,9
1745275673.217236,10
1745275673.267301,8
1745275673.3172119,8
1745275673.367213,8
1745275673.417212,7
1745275673.4671612,8
1745275673.517198,8
1745275673.566999,8
1745275673.617151,7
1745275673.667118,8
1745275673.717201,8
1745275673.767305,8
1745275673.8172789,8
1745275673.867309,9
1745275673.917224,9
1745275673.967304,9
1745275674.017319,9
1745275674.06731,7
1745275674.117295,8
1745275674.167306,8
1745275674.217267,7
1745275674.267304,8
1745275674.3172321,7
1745275674.367048,8
1745275674.4171069,7
1745275674.467127,7
1745275674.517154,7
1745275674.567251,8
1745275674.617237,8
1745275674.667294,7
1745275674.717292,8
1745275674.767286,9
1745275674.817264,10
1745275674.867282,11
1745275674.917269,10
1745275674.967298,9
1745275675.01717,7
1745275675.067265,8
1745275675.1172988,10
1745275675.167312,10
1745275675.217242,11
1745275675.267307,10
1745275675.3172648,9
1745275675.367209,9
1745275675.417233,9
1745275675.4673002,7
1745275675.517238,8
1745275675.567302,8
1745275675.617285,10
1745275675.667329,10
1745275675.717291,11
1745275675.767324,14
1745275675.817236,13
1745275675.8673348,13
1745275675.917254,12
1745275675.967294,9
1745275676.0172338,9
1745275676.067304,9
