timestamp,peakToPeak
1745275751.067295,7
1745275751.11748,14
1745275751.1674922,8
1745275751.217529,9
1745275751.267596,7
1745275751.317544,9
1745275751.367553,7
1745275751.417585,8
1745275751.467638,7
1745275751.517523,7
1745275751.56752,8
1745275751.617601,7
1745275751.667561,8
1745275751.7175958,9
1745275751.767615,636
1745275751.817673,14
1745275751.8676531,6
1745275751.917491,6
1745275751.967606,6
1745275752.017465,7
1745275752.06749,6
1745275752.117491,6
1745275752.167474,7
1745275752.21753,8
1745275752.267591,8
1745275752.317604,9
1745275752.3676002,9
1745275752.4176261,9
1745275752.467625,8
1745275752.517658,8
1745275752.567633,7
1745275752.6176288,9
1745275752.667614,8
1745275752.717665,9
1745275752.767634,8
1745275752.817594,8
1745275752.8675468,8
1745275752.917624,8
1745275752.9676318,8
1745275753.0175622,9
1745275753.067509,9
1745275753.117413,8
1745275753.167552,9
1745275753.217338,9
1745275753.267552,10
1745275753.317494,9
1745275753.367598,8
1745275753.417613,8
1745275753.467577,7
1745275753.5175722,9
1745275753.567605,8
1745275753.617567,8
1745275753.667665,8
1745275753.7175648,10
1745275753.767638,10
1745275753.817557,8
1745275753.867637,9
1745275753.917652,9
1745275753.967607,8
1745275754.01755,7
1745275754.067573,8
1745275754.1176052,9
1745275754.167611,8
1745275754.217531,9
1745275754.267633,11
1745275754.317605,12
1745275754.367629,10
1745275754.417581,10
1745275754.4676108,10
1745275754.517615,11
1745275754.5676,9
1745275754.618058,11
1745275754.667391,11
1745275754.717385,9
1745275754.767442,9
1745275754.817569,10
1745275754.867626,12
1745275754.9176478,14
1745275754.967444,12
1745275755.017428,11
1745275755.067426,11
1745275755.117485,13
1745275755.1675022,12
1745275755.217477,12
1745275755.267536,9
1745275755.317523,8
1745275755.367525,8
1745275755.417433,8
1745275755.467536,8
1745275755.5174952,12
1745275755.5675688,13
1745275755.617491,13
1745275755.667511,12
1745275755.717516,13
1745275755.7675352,15
1745275755.817512,13
1745275755.867564,12
1745275755.9174452,9
1745275755.967521,8
1745275756.01751,8
1745275756.067585,7
1745275756.117609,8
1745275756.167531,8
1745275756.217551,8
1745275756.267412,8
1745275756.317513,8
1745275756.367538,8
1745275756.417582,10
1745275756.467592,10
1745275756.517567,10
1745275756.567528,10
1745275756.6175518,9
1745275756.6675708,8
1745275756.717525,10
1745275756.767605,12
1745275756.8175879,12
1745275756.867687,8
1745275756.917568,9
1745275756.9675908,9
1745275757.017555,8
1745275757.06761,9
1745275757.117537,8
1745275757.167542,9
1745275757.217577,8
1745275757.267602,11
1745275757.317586,14
1745275757.367608,11
