timestamp,peakToPeak
1745272797.181174,8
1745272797.231149,9
1745272797.281302,7
1745272797.33133,7
1745272797.381422,7
1745272797.431343,8
1745272797.4814239,7
1745272797.531397,8
1745272797.581362,7
1745272797.6313758,7
1745272797.6814048,53
1745272797.731346,762
1745272797.7812831,7
1745272797.831349,4
1745272797.88138,4
1745272797.9313579,4
1745272797.981398,4
1745272798.031434,4
1745272798.081434,4
1745272798.13132,4
1745272798.181387,4
1745272798.231384,4
1745272798.281426,4
1745272798.3313012,4
1745272798.381401,4
1745272798.431394,4
1745272798.481432,4
1745272798.531421,6
1745272798.58143,4
1745272798.631391,4
1745272798.681244,6
1745272798.731282,6
1745272798.7812438,7
1745272798.831299,7
1745272798.881359,8
1745272798.931242,8
1745272798.981398,9
1745272799.031435,8
1745272799.08143,7
1745272799.131226,8
1745272799.181387,7
1745272799.2314088,7
1745272799.281277,8
1745272799.331417,8
1745272799.381265,9
1745272799.4313579,7
1745272799.481279,7
1745272799.53136,8
1745272799.581423,8
1745272799.6311722,9
1745272799.6812139,7
1745272799.731285,8
1745272799.781357,7
1745272799.831167,8
1745272799.881374,9
1745272799.931155,8
1745272799.9811919,8
1745272800.031088,8
1745272800.081131,18
1745272800.1311622,23
1745272800.182556,9
1745272800.2311301,18
1745272800.281088,15
1745272800.331118,10
1745272800.381134,13
1745272800.4311302,19
1745272800.481164,8
1745272800.531198,9
1745272800.58125,8
1745272800.631163,8
1745272800.681254,8
1745272800.7312388,9
1745272800.781281,9
1745272800.8313699,9
1745272800.881305,9
1745272800.93133,8
1745272800.981248,9
1745272801.0313191,10
1745272801.081269,8
1745272801.1313741,8
1745272801.181257,8
1745272801.231324,8
1745272801.2812722,8
1745272801.331349,10
1745272801.381258,14
1745272801.431417,17
1745272801.481236,9
1745272801.5313768,6
1745272801.581394,7
1745272801.6312761,7
1745272801.681364,15
1745272801.7312121,23
1745272801.781312,23
1745272801.831302,24
1745272801.8811939,32
1745272801.931262,21
1745272801.9814012,31
1745272802.031373,9
1745272802.081262,18
1745272802.131393,15
1745272802.181325,10
1745272802.231349,8
1745272802.2812521,9
1745272802.3312309,15
1745272802.381249,11
1745272802.4312441,10
1745272802.481262,10
1745272802.531322,12
1745272802.581286,10
1745272802.631382,11
1745272802.681395,10
1745272802.731411,14
1745272802.781427,9
1745272802.831278,8
1745272802.881323,9
1745272802.931385,12
1745272802.98135,9
1745272803.031322,11
1745272803.081394,9
1745272803.131399,11
1745272803.181392,9
1745272803.231245,8
1745272803.2814069,10
1745272803.331397,17
1745272803.381248,13
1745272803.431333,13
1745272803.481277,12
1745272803.5312781,9
1745272803.581253,8
1745272803.631362,7
1745272803.681165,13
1745272803.731216,11
1745272803.781214,8
1745272803.831223,9
1745272803.881301,7
1745272803.931254,17
1745272803.981374,10
1745272804.0313358,11
1745272804.0812428,11
1745272804.131371,8
1745272804.1812649,12
1745272804.231361,15
1745272804.281288,15
1745272804.331365,11
1745272804.381275,13
1745272804.431387,14
1745272804.4812212,8
1745272804.531424,17
1745272804.5812669,16
1745272804.6313589,10
1745272804.681228,13
1745272804.731385,12
1745272804.7813702,8
1745272804.8314261,18
1745272804.8812401,11
1745272804.931284,12
1745272804.981211,9
1745272805.031271,13
1745272805.08125,25
1745272805.1313999,21
1745272805.181258,8
1745272805.2314181,12
1745272805.281379,14
1745272805.331394,7
1745272805.3813682,16
1745272805.431243,15
1745272805.481211,11
1745272805.5313659,8
1745272805.581253,8
1745272805.6313322,13
1745272805.681408,20
1745272805.7312489,11
1745272805.7813919,8
1745272805.831199,7
1745272805.881302,7
1745272805.931381,8
1745272805.981229,10
1745272806.0313559,9
1745272806.081378,8
1745272806.131238,8
1745272806.181292,15
1745272806.231334,17
1745272806.281215,17
1745272806.331404,15
1745272806.381302,18
1745272806.431376,33
1745272806.4814022,22
1745272806.531337,7
1745272806.581384,7
1745272806.631305,7
1745272806.681199,7
1745272806.7312808,8
1745272806.7813702,8
1745272806.831373,8
1745272806.8813498,8
1745272806.931199,7
1745272806.981389,10
1745272807.031141,8
1745272807.081366,11
1745272807.131381,8
1745272807.181236,10
1745272807.23136,8
1745272807.281387,14
1745272807.3313642,13
1745272807.381363,8
1745272807.431205,12
1745272807.4813309,13
1745272807.5312252,19
1745272807.581316,14
1745272807.63124,15
1745272807.681338,34
1745272807.7313972,31
1745272807.7812102,24
1745272807.831369,15
1745272807.881394,16
1745272807.9313338,7
1745272807.981382,11
1745272808.031408,10
1745272808.081375,8
1745272808.1313689,9
1745272808.181205,8
1745272808.231377,9
1745272808.2813709,9
1745272808.331365,8
1745272808.381187,7
1745272808.431286,8
1745272808.48122,10
1745272808.53133,9
1745272808.581389,12
1745272808.6313028,8
1745272808.6811562,8
1745272808.731245,8
1745272808.781208,23
1745272808.831237,28
1745272808.881343,27
1745272808.9312918,16
1745272808.981215,9
1745272809.0313442,7
1745272809.081387,8
1745272809.131378,6
1745272809.181349,8
1745272809.2313652,9
1745272809.281392,20
1745272809.331407,17
1745272809.381207,11
1745272809.431396,10
1745272809.481389,12
1745272809.53138,14
1745272809.5812008,17
1745272809.631315,12
1745272809.681311,12
1745272809.731344,11
1745272809.781193,9
1745272809.8313658,7
1745272809.881294,7
1745272809.931031,8
1745272809.981154,7
1745272810.031209,11
1745272810.081326,22
1745272810.1313689,18
1745272810.181206,18
1745272810.231331,12
1745272810.281352,9
1745272810.331363,7
1745272810.3812218,7
1745272810.4313421,8
1745272810.481355,9
1745272810.531326,9
1745272810.581217,9
1745272810.631317,10
1745272810.681361,19
1745272810.7311292,20
1745272810.7813199,7
1745272810.8312168,12
1745272810.881361,13
1745272810.931345,16
1745272810.981364,14
1745272811.031372,13
1745272811.081339,16
1745272811.13134,9
1745272811.181151,25
1745272811.231381,32
1745272811.2812412,17
1745272811.3313248,10
1745272811.3811798,8
1745272811.4312708,16
1745272811.481365,10
1745272811.5313148,9
1745272811.581161,7
1745272811.63127,8
1745272811.6812642,8
1745272811.731322,7
1745272811.781169,10
1745272811.831278,8
1745272811.88112,8
1745272811.931133,9
1745272811.981295,8
1745272812.0312572,8
1745272812.08132,12
1745272812.131331,22
1745272812.1813052,18
1745272812.231138,26
1745272812.2813282,20
1745272812.331341,33
1745272812.381355,43
1745272812.43135,28
1745272812.481376,32
1745272812.531334,33
