timestamp,peakToPeak
1745273807.1426291,8
1745273807.192558,10
1745273807.24267,8
1745273807.292662,8
1745273807.342744,8
1745273807.392707,8
1745273807.442734,8
1745273807.4927108,7
1745273807.542721,7
1745273807.592715,8
1745273807.642678,8
1745273807.692642,7
1745273807.742743,7
1745273807.792755,8
1745273807.842759,8
1745273807.892801,763
1745273807.9427001,193
1745273807.992651,9
1745273808.0426931,6
1745273808.092588,4
1745273808.142445,4
1745273808.192447,5
1745273808.242635,4
1745273808.292642,5
1745273808.3427641,4
1745273808.392737,4
1745273808.442784,5
1745273808.49277,4
1745273808.542743,5
1745273808.592709,4
1745273808.6427488,4
1745273808.692776,4
1745273808.742768,5
1745273808.792786,5
1745273808.8427808,4
1745273808.8927581,4
1745273808.942749,6
1745273808.99261,4
1745273809.042749,6
1745273809.0925949,5
1745273809.1427488,6
1745273809.192682,6
1745273809.242702,7
1745273809.2927518,6
1745273809.342499,8
1745273809.39254,8
1745273809.442644,9
1745273809.49265,8
1745273809.542648,7
1745273809.59263,7
1745273809.6427362,7
1745273809.692747,8
1745273809.742698,8
1745273809.792732,7
1745273809.842742,8
1745273809.892527,8
1745273809.942724,8
1745273809.992577,8
1745273810.0426729,9
1745273810.09273,8
1745273810.1427379,7
1745273810.192658,7
1745273810.242729,9
1745273810.292641,8
1745273810.342714,8
1745273810.392745,9
1745273810.4427361,8
1745273810.492735,7
1745273810.542731,8
1745273810.592736,7
1745273810.642726,8
1745273810.692707,8
1745273810.742723,7
1745273810.792732,7
1745273810.842726,8
1745273810.8926852,8
1745273810.9427042,9
1745273810.992558,8
1745273811.042728,9
1745273811.0926552,8
1745273811.1427221,8
1745273811.1926012,8
1745273811.242736,9
1745273811.292741,8
1745273811.342735,7
1745273811.3926778,9
1745273811.4427369,8
1745273811.492712,7
1745273811.542721,7
1745273811.59265,8
1745273811.642741,8
1745273811.6926851,8
1745273811.7426748,8
1745273811.792684,8
1745273811.842731,7
1745273811.8926861,7
1745273811.942695,7
1745273811.992695,7
1745273812.042728,7
1745273812.0927129,8
1745273812.142661,8
1745273812.1925828,8
1745273812.242711,8
1745273812.292706,9
1745273812.3427122,8
1745273812.392716,7
1745273812.442684,8
1745273812.492694,6
1745273812.542718,7
1745273812.592659,7
1745273812.642655,7
1745273812.692728,8
1745273812.7427058,8
1745273812.7926888,6
1745273812.842658,7
1745273812.8927119,7
1745273812.942695,7
1745273812.992471,8
1745273813.042432,8
1745273813.092538,7
1745273813.142598,8
1745273813.192599,8
1745273813.2427251,8
1745273813.292726,8
1745273813.342724,8
1745273813.392736,8
1745273813.44272,8
1745273813.492438,8
1745273813.5425742,7
1745273813.592581,10
1745273813.6426518,8
1745273813.692679,9
1745273813.742663,8
1745273813.7926981,8
1745273813.842655,8
1745273813.892652,7
1745273813.942711,8
1745273813.992697,9
1745273814.0427158,8
1745273814.092677,8
1745273814.142688,8
1745273814.192677,8
1745273814.242709,7
1745273814.292653,9
1745273814.342714,9
1745273814.392693,9
1745273814.442666,8
1745273814.49264,9
1745273814.542662,9
1745273814.5927029,8
1745273814.642727,8
1745273814.692668,9
1745273814.742712,8
1745273814.792667,8
1745273814.84272,9
1745273814.892721,7
1745273814.942711,8
1745273814.992716,7
1745273815.0427241,8
1745273815.092726,7
1745273815.1426508,8
1745273815.192713,9
1745273815.242746,13
1745273815.292703,7
1745273815.342718,7
1745273815.392734,9
1745273815.442705,8
1745273815.4926789,8
1745273815.542701,9
1745273815.592714,8
1745273815.642692,7
1745273815.692659,8
1745273815.7427158,11
1745273815.792704,9
1745273815.842716,7
1745273815.892735,10
1745273815.942692,8
1745273815.992696,6
1745273816.042538,8
1745273816.092756,8
1745273816.142668,8
1745273816.192687,8
1745273816.242668,8
1745273816.2926369,7
1745273816.3427079,8
1745273816.3927,8
1745273816.442462,8
1745273816.492401,7
1745273816.542515,8
1745273816.5925171,8
1745273816.6425338,8
1745273816.6925771,8
1745273816.74261,8
1745273816.7926779,7
1745273816.842644,9
1745273816.8926709,8
1745273816.9426932,8
1745273816.992683,9
1745273817.0426838,8
1745273817.092682,8
1745273817.142678,8
1745273817.1926348,9
1745273817.242684,8
1745273817.2926872,9
1745273817.3426921,8
1745273817.3926778,8
1745273817.442671,8
1745273817.492654,8
1745273817.542677,9
1745273817.592692,8
1745273817.642698,8
1745273817.6926908,7
1745273817.742647,8
1745273817.792646,7
1745273817.842654,8
1745273817.892658,8
1745273817.942624,8
1745273817.9926121,9
1745273818.042496,6
1745273818.092545,7
1745273818.142563,8
1745273818.1925461,8
1745273818.2426019,8
1745273818.2926972,8
1745273818.342699,8
1745273818.392684,9
1745273818.442682,8
1745273818.4926798,7
1745273818.542675,8
1745273818.5926661,8
1745273818.6426811,8
1745273818.692662,8
1745273818.742659,9
1745273818.792662,8
1745273818.842494,8
1745273818.89264,9
1745273818.942605,8
1745273818.992613,8
1745273819.042668,8
1745273819.0927,8
1745273819.142608,7
1745273819.19269,7
1745273819.242644,8
1745273819.292664,7
1745273819.342674,9
1745273819.392679,8
1745273819.44267,8
1745273819.492649,7
1745273819.5427,8
1745273819.592672,8
1745273819.6426492,7
1745273819.6926668,8
1745273819.7426612,8
1745273819.7926242,7
1745273819.842674,7
1745273819.892648,8
1745273819.942623,8
1745273819.992689,8
1745273820.0426612,8
1745273820.0926678,8
1745273820.142661,8
1745273820.192359,8
1745273820.24253,8
1745273820.292491,8
1745273820.342608,8
1745273820.3925939,8
1745273820.442678,9
1745273820.492646,9
1745273820.5426261,8
1745273820.592663,8
1745273820.642666,7
1745273820.69263,9
1745273820.7426271,8
1745273820.792585,7
1745273820.8426611,7
1745273820.8925729,8
1745273820.94264,7
1745273820.992636,8
1745273821.042669,7
1745273821.092677,8
1745273821.142671,7
1745273821.192609,7
1745273821.242671,8
1745273821.292662,8
1745273821.342633,8
1745273821.39266,7
1745273821.442658,8
1745273821.492666,7
1745273821.542652,8
1745273821.592542,9
1745273821.642439,9
1745273821.69255,10
1745273821.742547,8
1745273821.7925491,9
1745273821.8426151,7
1745273821.892631,9
1745273821.942584,7
1745273821.9926012,8
1745273822.042646,8
1745273822.0926468,9
1745273822.142653,8
1745273822.1926122,8
1745273822.242584,8
1745273822.292581,9
1745273822.342647,8
1745273822.3926342,7
1745273822.442601,6
1745273822.492608,8
1745273822.5426419,8
1745273822.59257,9
1745273822.642665,8
1745273822.6926348,9
1745273822.742645,7
1745273822.792577,9
1745273822.842638,8
1745273822.892585,8
1745273822.942613,8
1745273822.992556,7
1745273823.042364,8
1745273823.09242,8
1745273823.1424918,8
1745273823.192522,8
1745273823.242663,7
1745273823.292623,8
1745273823.342581,8
1745273823.39264,8
1745273823.442642,8
1745273823.492629,8
1745273823.542639,8
1745273823.592623,9
1745273823.642593,9
1745273823.692634,8
1745273823.7426329,7
1745273823.792616,7
1745273823.842643,9
1745273823.892618,9
1745273823.942612,8
1745273823.992616,7
1745273824.042615,7
1745273824.09263,8
1745273824.142625,7
1745273824.19263,8
1745273824.242615,7
1745273824.292625,9
1745273824.342624,7
1745273824.392639,8
1745273824.442595,8
1745273824.492602,9
1745273824.542603,9
1745273824.592444,9
1745273824.64247,8
1745273824.6926231,8
1745273824.742611,8
1745273824.792564,8
1745273824.8426151,9
1745273824.892606,7
1745273824.9426079,9
1745273824.992608,8
1745273825.042631,7
1745273825.092593,8
1745273825.1425312,7
1745273825.1924539,7
1745273825.242581,8
1745273825.292577,9
1745273825.342583,8
1745273825.3925529,9
1745273825.442556,8
1745273825.492619,7
1745273825.542603,7
1745273825.5925498,7
1745273825.6426082,8
1745273825.692605,7
1745273825.742591,7
1745273825.792589,7
1745273825.8426082,8
1745273825.892545,8
1745273825.942562,9
1745273825.992599,8
1745273826.042558,8
1745273826.0925062,7
1745273826.142602,8
1745273826.192584,8
1745273826.2426019,7
1745273826.292592,8
1745273826.342608,9
1745273826.3926022,8
1745273826.4425228,9
1745273826.492599,8
1745273826.5425541,8
1745273826.592546,8
1745273826.642572,8
1745273826.692598,9
1745273826.742605,8
1745273826.792588,8
1745273826.8425899,7
1745273826.892601,8
1745273826.942503,8
1745273826.992576,8
1745273827.042612,8
1745273827.092601,7
1745273827.142587,8
1745273827.192596,8
1745273827.242595,8
1745273827.292543,8
1745273827.342516,7
1745273827.3925729,7
1745273827.4425669,8
1745273827.4925702,9
1745273827.5425448,10
1745273827.592582,9
1745273827.642564,8
1745273827.692598,8
1745273827.74259,7
1745273827.792306,8
1745273827.84245,8
1745273827.892457,8
1745273827.942506,7
1745273827.9925902,9
1745273828.042429,9
1745273828.09232,8
1745273828.142447,8
1745273828.192478,8
1745273828.242475,9
1745273828.292556,8
1745273828.3425019,7
1745273828.392554,9
1745273828.4425302,7
1745273828.492508,8
1745273828.542549,7
1745273828.592553,8
1745273828.642532,7
1745273828.692538,7
1745273828.742532,8
1745273828.792533,7
1745273828.842561,8
1745273828.8925629,8
1745273828.9425511,8
1745273828.9925609,7
1745273829.042523,6
1745273829.0925481,8
1745273829.142555,7
1745273829.1925068,7
1745273829.242524,7
1745273829.292554,8
1745273829.342548,7
1745273829.392529,7
1745273829.442534,8
1745273829.492531,8
1745273829.5423691,8
1745273829.592565,8
1745273829.642528,8
1745273829.692574,9
1745273829.742562,7
1745273829.7925801,9
1745273829.842556,8
1745273829.8925571,9
1745273829.942508,8
1745273829.992586,8
1745273830.0425441,6
1745273830.092583,8
1745273830.142571,9
1745273830.19255,8
1745273830.242531,8
1745273830.292585,8
1745273830.342562,8
1745273830.392569,9
1745273830.442561,8
1745273830.492558,8
1745273830.5425549,9
1745273830.592581,8
1745273830.642571,7
1745273830.692575,8
1745273830.742581,9
1745273830.7925801,9
1745273830.8425841,7
1745273830.892548,7
1745273830.9425302,7
1745273830.992544,8
1745273831.042516,8
1745273831.092566,8
1745273831.142585,10
1745273831.192576,9
1745273831.242513,8
1745273831.292541,8
1745273831.342565,8
1745273831.3925738,9
1745273831.442562,8
1745273831.492558,7
1745273831.542569,9
1745273831.592555,8
1745273831.642547,8
1745273831.692523,7
1745273831.7425642,8
1745273831.7925382,7
1745273831.842508,8
1745273831.892528,7
1745273831.942562,8
1745273831.992574,8
1745273832.0425642,8
1745273832.092563,7
1745273832.1425831,6
1745273832.192568,8
1745273832.242578,10
1745273832.292552,8
1745273832.342575,8
1745273832.392554,9
1745273832.442511,9
1745273832.492558,9
1745273832.5425558,8
1745273832.592559,8
1745273832.6425579,8
1745273832.692564,8
1745273832.742524,7
1745273832.79256,8
1745273832.842562,7
1745273832.892571,8
1745273832.9425302,11
1745273832.992543,7
1745273833.042314,10
1745273833.09241,7
1745273833.142368,8
1745273833.192435,8
1745273833.24243,7
1745273833.292547,7
1745273833.342549,8
1745273833.3925068,8
1745273833.442497,7
1745273833.493549,8
1745273833.543545,7
1745273833.5935428,8
1745273833.643548,8
1745273833.693535,8
1745273833.743582,7
1745273833.793532,8
1745273833.843539,8
1745273833.893358,9
1745273833.943518,8
1745273833.993533,8
1745273834.0434382,8
1745273834.093547,8
1745273834.143498,9
1745273834.1935308,7
1745273834.2435021,8
1745273834.293539,8
1745273834.34353,7
1745273834.3935318,8
1745273834.443545,8
1745273834.493521,8
1745273834.543539,8
1745273834.5935009,7
1745273834.6434932,7
1745273834.69353,8
1745273834.743519,7
1745273834.793498,8
1745273834.8432488,8
1745273834.893462,8
1745273834.943462,8
1745273834.99344,7
1745273835.043388,7
1745273835.0935109,8
1745273835.143374,8
1745273835.1933062,8
1745273835.243396,8
1745273835.293522,8
1745273835.343482,8
1745273835.393854,9
1745273835.4435189,9
1745273835.493474,8
1745273835.5434291,13
