timestamp,peakToPeak
1745274832.508843,9
1745274832.558955,8
1745274832.608981,9
1745274832.658966,8
1745274832.709051,9
1745274832.759061,8
1745274832.809104,8
1745274832.858916,7
1745274832.909058,9
1745274832.9590652,8
1745274833.008947,9
1745274833.059042,8
1745274833.1089752,8
1745274833.159106,8
1745274833.209085,8
1745274833.259085,9
1745274833.3090718,761
1745274833.359095,8
1745274833.4091132,5
1745274833.458942,5
1745274833.508876,4
1745274833.558954,5
1745274833.608958,5
1745274833.659071,5
1745274833.7090728,5
1745274833.7590349,6
1745274833.8090382,6
1745274833.859085,6
1745274833.909054,5
1745274833.959094,6
1745274834.009037,6
1745274834.059065,8
1745274834.109067,8
1745274834.1590881,8
1745274834.209053,7
1745274834.2590988,9
1745274834.309092,7
1745274834.359091,7
1745274834.409042,8
1745274834.459075,8
1745274834.509093,7
1745274834.559105,8
1745274834.6090949,8
1745274834.659084,8
1745274834.7090292,7
1745274834.759131,7
1745274834.809044,7
1745274834.859091,8
1745274834.9091141,8
1745274834.958845,8
1745274835.008916,8
1745274835.058924,9
1745274835.109694,8
1745274835.161364,8
1745274835.20878,13
1745274835.25899,11
1745274835.308993,8
1745274835.359095,10
1745274835.409041,11
1745274835.459048,8
1745274835.509117,7
1745274835.559081,8
1745274835.609024,8
1745274835.659094,7
1745274835.709051,7
1745274835.759017,8
1745274835.809058,9
1745274835.8590999,9
1745274835.90909,9
1745274835.959061,9
1745274836.009061,10
1745274836.059089,9
1745274836.109068,7
1745274836.1590972,8
1745274836.208975,7
1745274836.259083,8
1745274836.30905,8
1745274836.3590841,9
1745274836.409011,11
1745274836.459048,8
1745274836.5090718,9
1745274836.5590458,29
1745274836.609097,9
1745274836.659088,10
1745274836.709058,15
1745274836.759083,12
1745274836.808991,15
1745274836.859073,16
1745274836.908986,15
1745274836.95903,17
1745274837.0088818,7
1745274837.0590148,11
1745274837.109083,10
1745274837.159025,7
1745274837.209128,7
1745274837.258806,8
1745274837.308938,9
1745274837.358913,8
1745274837.4089541,7
1745274837.4590201,8
1745274837.509085,9
1745274837.55903,8
1745274837.609084,9
1745274837.65908,10
1745274837.709148,10
1745274837.758967,8
1745274837.809053,7
1745274837.859078,8
1745274837.909544,8
1745274837.9588249,7
1745274838.008872,8
1745274838.058906,8
1745274838.109096,7
1745274838.1590168,7
1745274838.209074,7
1745274838.259079,8
1745274838.3090649,10
1745274838.3590379,8
1745274838.409046,9
1745274838.45905,8
1745274838.5090508,7
1745274838.559053,8
1745274838.6090722,7
1745274838.659067,8
1745274838.709056,8
1745274838.7590652,7
1745274838.809004,8
1745274838.859083,10
1745274838.9090822,10
1745274838.959048,8
