timestamp,peakToPeak
1745273571.240513,9
1745273571.2906299,11
1745273571.3405929,9
1745273571.39063,8
1745273571.4406762,8
1745273571.49074,7
1745273571.5406919,8
1745273571.59067,6
1745273571.640691,7
1745273571.6906712,7
1745273571.740714,8
1745273571.790714,9
1745273571.840673,762
1745273571.8907561,11
1745273571.940712,5
1745273571.990761,5
1745273572.040778,5
1745273572.090775,4
1745273572.140794,5
1745273572.19056,5
1745273572.240594,5
1745273572.290587,6
1745273572.340617,5
1745273572.390662,6
1745273572.440751,5
1745273572.4907362,5
1745273572.5407429,6
1745273572.590694,6
1745273572.640765,7
1745273572.690749,7
1745273572.74074,7
1745273572.79074,7
1745273572.8405418,7
1745273572.8907478,8
1745273572.940688,6
1745273572.990749,6
1745273573.040724,8
1745273573.090656,8
1745273573.140576,9
1745273573.190497,7
1745273573.240478,8
1745273573.2906282,10
1745273573.340637,9
1745273573.390644,8
1745273573.440607,12
1745273573.490734,10
1745273573.540707,9
1745273573.590713,9
1745273573.6407528,12
1745273573.690612,9
1745273573.740522,8
1745273573.7907321,7
1745273573.840689,8
1745273573.890668,7
1745273573.9406269,8
1745273573.990732,9
1745273574.040684,8
1745273574.09071,7
1745273574.140717,8
1745273574.193237,8
1745273574.240581,7
1745273574.2905521,8
1745273574.3405828,8
1745273574.390676,8
1745273574.440764,8
1745273574.490623,7
1745273574.540722,8
1745273574.5907352,9
1745273574.6407712,11
1745273574.6907399,9
1745273574.7407491,10
1745273574.790737,8
1745273574.840642,7
1745273574.8907478,10
1745273574.940504,14
1745273574.990474,13
1745273575.040504,15
1745273575.0905652,17
1745273575.140629,14
1745273575.19069,19
1745273575.240727,9
1745273575.290677,10
1745273575.340734,11
1745273575.390673,9
1745273575.4407191,8
1745273575.490654,8
1745273575.540722,8
1745273575.590668,8
1745273575.640713,7
1745273575.6907089,9
1745273575.740677,10
1745273575.790737,9
1745273575.840723,10
1745273575.890701,8
1745273575.9406888,9
1745273575.990749,7
1745273576.0407,8
1745273576.090732,9
1745273576.1407192,9
1745273576.1906939,8
1745273576.24067,8
1745273576.290714,8
1745273576.3407109,8
1745273576.390659,7
1745273576.440709,8
1745273576.490716,8
1745273576.540749,10
1745273576.590718,9
1745273576.640749,10
1745273576.690718,10
1745273576.7407172,8
1745273576.790706,9
1745273576.840655,7
1745273576.89073,10
1745273576.940653,9
1745273576.990711,8
1745273577.04069,8
1745273577.090698,9
1745273577.140674,10
1745273577.190644,8
1745273577.240659,10
1745273577.2906508,7
1745273577.340703,8
1745273577.390699,9
1745273577.440724,11
1745273577.490689,8
1745273577.540701,10
1745273577.590726,8
1745273577.6407151,9
1745273577.6906502,7
1745273577.740603,12
1745273577.790637,9
1745273577.8406131,8
1745273577.890668,10
1745273577.940589,9
1745273577.990637,8
1745273578.040598,11
1745273578.0906801,8
1745273578.140703,8
1745273578.190687,9
1745273578.2406862,9
1745273578.290694,15
1745273578.3407192,14
1745273578.3906848,8
1745273578.440701,8
1745273578.4906151,9
1745273578.540703,8
1745273578.5906491,9
1745273578.640724,11
1745273578.690676,8
1745273578.740644,8
1745273578.790675,7
1745273578.840642,9
1745273578.890697,12
1745273578.940639,9
1745273578.9906921,8
1745273579.040666,8
1745273579.0906692,8
1745273579.140641,8
1745273579.1906419,8
1745273579.240612,8
1745273579.2906072,7
1745273579.340679,7
1745273579.390686,10
1745273579.440692,12
1745273579.490688,10
1745273579.540674,9
1745273579.590633,13
1745273579.640615,19
1745273579.6907032,11
1745273579.740663,8
1745273579.790668,8
1745273579.840707,8
1745273579.89069,8
1745273579.940546,9
1745273579.990505,8
1745273580.040542,8
1745273580.090572,8
1745273580.1405802,7
1745273580.19059,8
1745273580.240656,8
1745273580.290617,9
1745273580.3406012,8
1745273580.3905768,8
1745273580.440613,9
1745273580.4906292,10
1745273580.540649,8
1745273580.59059,8
1745273580.640621,9
1745273580.690599,10
1745273580.7406259,12
1745273580.7905989,10
1745273580.840634,12
1745273580.89066,20
1745273580.9406002,17
1745273580.990627,12
1745273581.04065,12
1745273581.0910752,9
1745273581.140503,7
1745273581.1904771,9
1745273581.240494,9
1745273581.290356,9
1745273581.340564,9
1745273581.390686,8
1745273581.4406872,7
1745273581.4906712,9
1745273581.540697,7
1745273581.5906591,7
1745273581.640687,9
1745273581.690656,8
1745273581.7406561,8
1745273581.790658,8
1745273581.8406541,8
1745273581.890678,7
1745273581.940614,8
1745273581.990701,14
1745273582.040639,16
1745273582.090656,14
1745273582.1406322,12
1745273582.1906781,7
1745273582.240685,8
1745273582.2906702,8
1745273582.340673,7
1745273582.3906062,7
1745273582.440691,8
1745273582.490665,13
1745273582.540676,8
1745273582.590642,8
1745273582.640609,9
1745273582.69067,10
1745273582.7405891,11
1745273582.7906508,11
1745273582.840671,10
1745273582.890684,10
1745273582.940622,9
1745273582.990669,8
1745273583.0406091,7
1745273583.090661,8
1745273583.1406488,9
1745273583.19066,8
1745273583.240694,10
1745273583.2906098,14
1745273583.340471,9
1745273583.390621,11
1745273583.4406688,8
1745273583.490657,7
1745273583.540658,8
1745273583.590639,9
1745273583.640661,8
1745273583.6906471,9
1745273583.740642,9
1745273583.790625,8
