timestamp,peakToPeak
1745274461.454988,11
1745274461.5050292,8
1745274461.5550551,8
1745274461.605076,8
1745274461.655172,9
1745274461.705076,8
1745274461.755104,8
1745274461.8052638,8
1745274461.855139,7
1745274461.9050822,7
1745274461.95508,8
1745274462.0051122,8
1745274462.055118,9
1745274462.105202,8
1745274462.155054,8
1745274462.205208,10
1745274462.255145,631
1745274462.3050802,24
1745274462.355037,10
1745274462.4050019,7
1745274462.4550269,7
1745274462.505048,9
1745274462.5550258,8
1745274462.6050508,10
1745274462.655183,9
1745274462.7051141,9
1745274462.755179,9
1745274462.8051789,8
1745274462.8551,8
1745274462.9051678,7
1745274462.955086,8
1745274463.0051992,8
1745274463.055138,8
1745274463.105209,7
1745274463.155087,7
1745274463.205187,8
1745274463.255094,9
1745274463.305152,8
1745274463.355072,9
1745274463.4050329,9
1745274463.4551098,8
1745274463.5048609,8
1745274463.5548759,8
1745274463.604919,9
1745274463.654994,8
1745274463.7049909,7
1745274463.755075,11
1745274463.8050802,11
1745274463.855066,7
1745274463.905209,10
1745274463.955157,10
1745274464.005013,8
1745274464.055073,9
1745274464.105163,9
1745274464.1550121,7
1745274464.205131,8
1745274464.255084,8
1745274464.3051252,8
1745274464.355065,8
1745274464.405144,8
1745274464.4623969,8
1745274464.505025,8
1745274464.5548851,9
1745274464.6049988,8
1745274464.655193,8
1745274464.705195,8
1745274464.75513,9
1745274464.8051589,8
1745274464.855173,8
1745274464.905201,11
1745274464.9551208,10
1745274465.005158,8
1745274465.0551271,8
1745274465.1051362,8
1745274465.155,9
1745274465.205146,11
1745274465.255143,14
1745274465.3051322,11
1745274465.3550458,14
1745274465.405215,12
1745274465.455188,13
1745274465.505195,12
1745274465.555104,8
1745274465.605185,11
1745274465.655114,8
1745274465.70491,9
1745274465.755071,9
1745274465.805063,9
1745274465.855108,9
1745274465.9051871,9
1745274465.9551208,10
1745274466.005114,8
1745274466.05516,9
1745274466.10516,8
1745274466.155041,8
1745274466.205087,9
1745274466.255147,8
1745274466.305347,9
1745274466.355008,9
1745274466.4051032,9
1745274466.455117,8
1745274466.5049758,8
1745274466.554923,9
1745274466.605082,9
1745274466.6550772,8
1745274466.705148,8
1745274466.755158,9
1745274466.804937,8
1745274466.855207,10
1745274466.905161,9
1745274466.955112,9
1745274467.005126,9
1745274467.055093,7
1745274467.105161,8
1745274467.155076,9
1745274467.204996,11
1745274467.254894,7
1745274467.30504,9
1745274467.354971,8
1745274467.40492,11
1745274467.4550269,8
1745274467.505018,8
1745274467.555041,9
1745274467.6051672,9
1745274467.6550999,11
1745274467.705153,9
1745274467.7550662,10
1745274467.8051589,9
1745274467.855078,9
1745274467.905051,9
1745274467.955115,9
1745274468.005104,8
1745274468.055116,10
1745274468.105184,8
1745274468.15517,8
1745274468.205107,9
1745274468.255115,8
1745274468.305079,11
1745274468.3550022,8
1745274468.40515,9
1745274468.45507,8
1745274468.505148,10
1745274468.5551271,14
1745274468.6051662,11
1745274468.6551092,10
1745274468.705096,9
1745274468.755119,9
1745274468.805269,9
1745274468.8551412,9
1745274468.90519,11
1745274468.955165,9
1745274469.0051498,8
1745274469.055091,8
1745274469.1051662,7
1745274469.1551669,9
1745274469.205153,9
1745274469.255096,8
1745274469.3051121,7
1745274469.354997,8
1745274469.405182,8
1745274469.455117,8
1745274469.505166,9
1745274469.555101,8
1745274469.605155,9
1745274469.655094,8
1745274469.705142,12
1745274469.755102,9
1745274469.805142,9
1745274469.855157,11
1745274469.9051929,11
1745274469.955161,17
1745274470.005137,9
1745274470.055095,8
1745274470.1051252,9
1745274470.1551092,9
1745274470.2051651,7
1745274470.255095,8
1745274470.305119,8
1745274470.3551092,8
1745274470.4051561,7
1745274470.455137,8
1745274470.50512,10
1745274470.5551622,7
1745274470.6051588,7
1745274470.6550982,7
1745274470.705157,8
1745274470.757586,8
1745274470.804941,8
1745274470.854976,7
1745274470.904978,9
1745274470.955101,8
1745274471.005145,9
1745274471.055093,8
1745274471.1051679,8
1745274471.1550899,7
1745274471.205154,8
1745274471.2551,14
1745274471.3051012,10
1745274471.355093,9
1745274471.405143,8
1745274471.4550989,7
1745274471.505155,7
1745274471.555159,8
1745274471.6051478,8
1745274471.655087,9
1745274471.70516,8
1745274471.755109,9
1745274471.80511,9
1745274471.8550882,8
